timestamp,day,fband,velocity,deviation,n_measurements
2024-02-03 00:30:00,2024-02-03,0.126,700,368,15
2024-02-03 00:30:00,2024-02-03,0.158,0,466,57
2024-02-03 00:30:00,2024-02-03,0.2,0,490,80
2024-02-03 00:30:00,2024-02-03,0.251,300,410,45
2024-02-03 00:30:00,2024-02-03,0.316,0,305,8
2024-02-03 01:30:00,2024-02-03,0.126,600,282,27
2024-02-03 01:30:00,2024-02-03,0.158,500,339,78
2024-02-03 01:30:00,2024-02-03,0.2,0,412,88
2024-02-03 01:30:00,2024-02-03,0.251,200,368,58
2024-02-03 01:30:00,2024-02-03,0.316,100,376,11
2024-02-03 02:30:00,2024-02-03,0.126,400,291,23
2024-02-03 02:30:00,2024-02-03,0.158,500,335,80
2024-02-03 02:30:00,2024-02-03,0.2,0,396,94
2024-02-03 02:30:00,2024-02-03,0.251,200,369,62
2024-02-03 03:30:00,2024-02-03,0.126,500,327,22
2024-02-03 03:30:00,2024-02-03,0.158,100,278,73
2024-02-03 03:30:00,2024-02-03,0.2,0,299,94
2024-02-03 03:30:00,2024-02-03,0.251,0,268,65
2024-02-03 03:30:00,2024-02-03,0.316,500,392,11
2024-02-03 04:30:00,2024-02-03,0.126,0,308,26
2024-02-03 04:30:00,2024-02-03,0.158,0,360,73
2024-02-03 04:30:00,2024-02-03,0.2,0,338,78
2024-02-03 04:30:00,2024-02-03,0.251,0,356,56
2024-02-03 04:30:00,2024-02-03,0.316,0,254,7
2024-02-03 05:30:00,2024-02-03,0.126,0,299,20
2024-02-03 05:30:00,2024-02-03,0.158,0,378,83
2024-02-03 05:30:00,2024-02-03,0.2,0,379,82
2024-02-03 05:30:00,2024-02-03,0.251,0,419,57
2024-02-03 05:30:00,2024-02-03,0.316,0,211,11
2024-02-03 06:30:00,2024-02-03,0.126,0,429,24
2024-02-03 06:30:00,2024-02-03,0.158,0,548,72
2024-02-03 06:30:00,2024-02-03,0.2,0,523,78
2024-02-03 06:30:00,2024-02-03,0.251,0,589,60
2024-02-03 07:30:00,2024-02-03,0.126,0,587,28
2024-02-03 07:30:00,2024-02-03,0.158,0,852,77
2024-02-03 07:30:00,2024-02-03,0.2,0,851,82
2024-02-03 07:30:00,2024-02-03,0.251,0,880,53
2024-02-03 07:30:00,2024-02-03,0.316,0,578,7
2024-02-03 08:30:00,2024-02-03,0.126,1100,691,37
2024-02-03 08:30:00,2024-02-03,0.158,1300,863,72
2024-02-03 08:30:00,2024-02-03,0.2,600,875,74
2024-02-03 08:30:00,2024-02-03,0.251,1100,876,56
2024-02-03 09:30:00,2024-02-03,0.126,2300,790,49
2024-02-03 09:30:00,2024-02-03,0.158,2200,591,64
2024-02-03 09:30:00,2024-02-03,0.2,2200,804,78
2024-02-03 09:30:00,2024-02-03,0.251,2400,825,67
2024-02-03 09:30:00,2024-02-03,0.316,1800,587,8
2024-02-03 10:30:00,2024-02-03,0.126,3000,1043,51
2024-02-03 10:30:00,2024-02-03,0.158,3000,1073,73
2024-02-03 10:30:00,2024-02-03,0.2,3100,1490,89
2024-02-03 10:30:00,2024-02-03,0.251,3000,1430,74
2024-02-03 10:30:00,2024-02-03,0.316,2900,529,7
2024-02-03 11:30:00,2024-02-03,0.126,5000,16850,52
2024-02-03 11:30:00,2024-02-03,0.158,4900,4453,77
2024-02-03 11:30:00,2024-02-03,0.2,5200,17187,86
2024-02-03 11:30:00,2024-02-03,0.251,5700,59098,87
2024-02-03 11:30:00,2024-02-03,0.316,4700,726,10
2024-02-03 12:30:00,2024-02-03,0.126,5900,78719,54
2024-02-03 12:30:00,2024-02-03,0.158,5900,137591,74
2024-02-03 12:30:00,2024-02-03,0.2,5900,95776,76
2024-02-03 12:30:00,2024-02-03,0.251,2800,89012,69
2024-02-03 12:30:00,2024-02-03,0.316,5900,2336,8
2024-02-03 13:30:00,2024-02-03,0.126,4900,167812,56
2024-02-03 13:30:00,2024-02-03,0.158,5400,141756,74
2024-02-03 13:30:00,2024-02-03,0.2,2000,141307,90
2024-02-03 13:30:00,2024-02-03,0.251,3700,110802,62
2024-02-03 13:30:00,2024-02-03,0.316,4400,157428,15
2024-02-03 14:30:00,2024-02-03,0.126,0,94095,56
2024-02-03 14:30:00,2024-02-03,0.158,0,107562,68
2024-02-03 14:30:00,2024-02-03,0.2,0,84860,84
2024-02-03 14:30:00,2024-02-03,0.251,0,71640,66
2024-02-03 14:30:00,2024-02-03,0.316,1700,41647,7
2024-02-03 15:30:00,2024-02-03,0.126,2300,4358,62
2024-02-03 15:30:00,2024-02-03,0.158,0,15520,73
2024-02-03 15:30:00,2024-02-03,0.2,2600,6117,85
2024-02-03 15:30:00,2024-02-03,0.251,2500,5728,69
2024-02-03 15:30:00,2024-02-03,0.316,200,2527,7
2024-02-03 16:30:00,2024-02-03,0.1,1700,738,9
2024-02-03 16:30:00,2024-02-03,0.126,1900,1263,58
2024-02-03 16:30:00,2024-02-03,0.158,1600,1427,72
2024-02-03 16:30:00,2024-02-03,0.2,300,1580,91
2024-02-03 16:30:00,2024-02-03,0.251,1600,1480,54
2024-02-03 16:30:00,2024-02-03,0.316,1600,2160,7
2024-02-03 17:30:00,2024-02-03,0.1,1700,603,7
2024-02-03 17:30:00,2024-02-03,0.126,1200,674,57
2024-02-03 17:30:00,2024-02-03,0.158,1000,740,77
2024-02-03 17:30:00,2024-02-03,0.2,1000,978,82
2024-02-03 17:30:00,2024-02-03,0.251,1100,904,83
2024-02-03 17:30:00,2024-02-03,0.316,1000,716,16
2024-02-03 18:30:00,2024-02-03,0.1,1000,437,10
2024-02-03 18:30:00,2024-02-03,0.126,1500,482,58
2024-02-03 18:30:00,2024-02-03,0.158,1200,721,78
2024-02-03 18:30:00,2024-02-03,0.2,1200,710,81
2024-02-03 18:30:00,2024-02-03,0.251,1000,749,79
2024-02-03 18:30:00,2024-02-03,0.316,1800,447,9
2024-02-03 19:30:00,2024-02-03,0.1,1400,693,22
2024-02-03 19:30:00,2024-02-03,0.126,1400,474,61
2024-02-03 19:30:00,2024-02-03,0.158,1400,740,69
2024-02-03 19:30:00,2024-02-03,0.2,1400,678,82
2024-02-03 19:30:00,2024-02-03,0.251,1300,548,79
2024-02-03 19:30:00,2024-02-03,0.316,1200,314,14
2024-02-03 20:30:00,2024-02-03,0.1,1300,836,30
2024-02-03 20:30:00,2024-02-03,0.126,1500,569,60
2024-02-03 20:30:00,2024-02-03,0.158,1500,739,75
2024-02-03 20:30:00,2024-02-03,0.2,1400,536,97
2024-02-03 20:30:00,2024-02-03,0.251,1400,554,69
2024-02-03 21:30:00,2024-02-03,0.1,1100,395,25
2024-02-03 21:30:00,2024-02-03,0.126,1200,384,62
2024-02-03 21:30:00,2024-02-03,0.158,1300,506,68
2024-02-03 21:30:00,2024-02-03,0.2,1200,373,86
2024-02-03 21:30:00,2024-02-03,0.251,1200,373,73
2024-02-03 21:30:00,2024-02-03,0.316,1100,284,9
2024-02-03 22:30:00,2024-02-03,0.1,900,722,37
2024-02-03 22:30:00,2024-02-03,0.126,1100,530,64
2024-02-03 22:30:00,2024-02-03,0.158,1100,502,70
2024-02-03 22:30:00,2024-02-03,0.2,1100,633,89
2024-02-03 22:30:00,2024-02-03,0.251,1100,483,83
2024-02-03 22:30:00,2024-02-03,0.316,1300,359,9
2024-02-03 23:30:00,2024-02-03,0.1,600,386,19
2024-02-03 23:30:00,2024-02-03,0.126,600,463,61
2024-02-03 23:30:00,2024-02-03,0.158,900,486,68
