timestamp,day,fband,velocity,deviation,n_measurements
2024-01-07 00:30:00,2024-01-07,0.158,0,21895,25
2024-01-07 00:30:00,2024-01-07,0.2,0,75339,46
2024-01-07 00:30:00,2024-01-07,0.251,5900,99629,38
2024-01-07 00:30:00,2024-01-07,0.316,0,31208,14
2024-01-07 01:30:00,2024-01-07,0.158,0,23567,37
2024-01-07 01:30:00,2024-01-07,0.2,0,95412,68
2024-01-07 01:30:00,2024-01-07,0.251,5900,45281,49
2024-01-07 01:30:00,2024-01-07,0.316,0,98304,32
2024-01-07 02:30:00,2024-01-07,0.158,0,130599,44
2024-01-07 02:30:00,2024-01-07,0.2,0,162193,66
2024-01-07 02:30:00,2024-01-07,0.251,5900,109910,51
2024-01-07 02:30:00,2024-01-07,0.316,1300,23725,29
2024-01-07 03:30:00,2024-01-07,0.158,1700,41454,46
2024-01-07 03:30:00,2024-01-07,0.2,3000,33942,71
2024-01-07 03:30:00,2024-01-07,0.251,2600,42192,54
2024-01-07 03:30:00,2024-01-07,0.316,0,40028,45
2024-01-07 04:30:00,2024-01-07,0.158,2700,1319,41
2024-01-07 04:30:00,2024-01-07,0.2,2700,1623,60
2024-01-07 04:30:00,2024-01-07,0.251,2600,2675,50
2024-01-07 04:30:00,2024-01-07,0.316,2800,2614,46
2024-01-07 05:30:00,2024-01-07,0.158,4900,5133,38
2024-01-07 05:30:00,2024-01-07,0.2,5300,18435,62
2024-01-07 05:30:00,2024-01-07,0.251,3800,63966,47
2024-01-07 05:30:00,2024-01-07,0.316,2400,38283,39
2024-01-07 06:30:00,2024-01-07,0.158,5900,5830,40
2024-01-07 06:30:00,2024-01-07,0.2,5900,10103,64
2024-01-07 06:30:00,2024-01-07,0.251,0,97791,42
2024-01-07 06:30:00,2024-01-07,0.316,5900,37252,30
2024-01-07 07:30:00,2024-01-07,0.158,5900,24480,48
2024-01-07 07:30:00,2024-01-07,0.2,5900,18962,60
2024-01-07 07:30:00,2024-01-07,0.251,4200,19588,35
2024-01-07 07:30:00,2024-01-07,0.316,5900,33209,33
2024-01-07 08:30:00,2024-01-07,0.158,5900,41289,59
2024-01-07 08:30:00,2024-01-07,0.2,5900,16168,70
2024-01-07 08:30:00,2024-01-07,0.251,5900,25823,44
2024-01-07 08:30:00,2024-01-07,0.316,5900,104640,30
2024-01-07 09:30:00,2024-01-07,0.158,5900,56591,48
2024-01-07 09:30:00,2024-01-07,0.2,5900,10716,61
2024-01-07 09:30:00,2024-01-07,0.251,4900,21892,49
2024-01-07 09:30:00,2024-01-07,0.316,3200,24775,17
2024-01-07 10:30:00,2024-01-07,0.158,5900,39654,49
2024-01-07 10:30:00,2024-01-07,0.2,5900,24225,66
2024-01-07 10:30:00,2024-01-07,0.251,1000,59713,49
2024-01-07 10:30:00,2024-01-07,0.316,4200,6937,15
2024-01-07 11:30:00,2024-01-07,0.158,5900,69256,59
2024-01-07 11:30:00,2024-01-07,0.2,5900,72997,68
2024-01-07 11:30:00,2024-01-07,0.251,1100,145943,50
2024-01-07 11:30:00,2024-01-07,0.316,0,160452,14
2024-01-07 12:30:00,2024-01-07,0.158,5900,118628,45
2024-01-07 12:30:00,2024-01-07,0.2,5900,105214,67
2024-01-07 12:30:00,2024-01-07,0.251,5900,67675,52
2024-01-07 12:30:00,2024-01-07,0.316,5900,116312,13
2024-01-07 13:30:00,2024-01-07,0.158,5900,121553,64
2024-01-07 13:30:00,2024-01-07,0.2,5900,161364,70
2024-01-07 13:30:00,2024-01-07,0.251,5900,170988,50
2024-01-07 14:30:00,2024-01-07,0.158,5900,178973,63
2024-01-07 14:30:00,2024-01-07,0.2,5900,139953,60
