timestamp,day,fband,velocity,deviation,n_measurements
2024-01-02 00:30:00,2024-01-02,0.126,1600,1734,21
2024-01-02 00:30:00,2024-01-02,0.158,1500,1629,60
2024-01-02 00:30:00,2024-01-02,0.2,1800,1979,90
2024-01-02 00:30:00,2024-01-02,0.251,1900,1138,104
2024-01-02 00:30:00,2024-01-02,0.316,2200,1126,55
2024-01-02 01:30:00,2024-01-02,0.126,1900,1058,48
2024-01-02 01:30:00,2024-01-02,0.158,1900,963,85
2024-01-02 01:30:00,2024-01-02,0.2,2000,990,94
2024-01-02 01:30:00,2024-01-02,0.251,2300,1170,121
2024-01-02 01:30:00,2024-01-02,0.316,2100,782,92
2024-01-02 02:30:00,2024-01-02,0.1,2000,1631,8
2024-01-02 02:30:00,2024-01-02,0.126,2000,403,50
2024-01-02 02:30:00,2024-01-02,0.158,1800,591,86
2024-01-02 02:30:00,2024-01-02,0.2,1800,685,111
2024-01-02 02:30:00,2024-01-02,0.251,1900,544,114
2024-01-02 02:30:00,2024-01-02,0.316,1900,609,84
2024-01-02 02:30:00,2024-01-02,0.398,2200,454,6
2024-01-02 03:30:00,2024-01-02,0.126,2300,412,44
2024-01-02 03:30:00,2024-01-02,0.158,2200,541,80
2024-01-02 03:30:00,2024-01-02,0.2,2300,464,100
2024-01-02 03:30:00,2024-01-02,0.251,2100,1786,125
2024-01-02 03:30:00,2024-01-02,0.316,2300,1037,66
2024-01-02 04:30:00,2024-01-02,0.126,3100,34178,38
2024-01-02 04:30:00,2024-01-02,0.158,3000,4415,82
2024-01-02 04:30:00,2024-01-02,0.2,2700,1310,106
2024-01-02 04:30:00,2024-01-02,0.251,1800,64246,132
2024-01-02 04:30:00,2024-01-02,0.316,2600,6167,81
2024-01-02 05:30:00,2024-01-02,0.126,4300,61620,44
2024-01-02 05:30:00,2024-01-02,0.158,3300,1989,81
2024-01-02 05:30:00,2024-01-02,0.2,3600,5716,110
2024-01-02 05:30:00,2024-01-02,0.251,2600,71018,139
2024-01-02 05:30:00,2024-01-02,0.316,1900,68134,93
2024-01-02 06:30:00,2024-01-02,0.126,5900,46222,35
2024-01-02 06:30:00,2024-01-02,0.158,5000,25917,81
2024-01-02 06:30:00,2024-01-02,0.2,4800,19742,105
2024-01-02 06:30:00,2024-01-02,0.251,3000,53650,126
2024-01-02 06:30:00,2024-01-02,0.316,3300,79048,103
2024-01-02 07:30:00,2024-01-02,0.126,5000,43202,46
2024-01-02 07:30:00,2024-01-02,0.158,5900,106219,77
2024-01-02 07:30:00,2024-01-02,0.2,5800,93455,109
2024-01-02 07:30:00,2024-01-02,0.251,4400,57314,131
2024-01-02 07:30:00,2024-01-02,0.316,4000,56734,87
