timestamp,day,fband,velocity,deviation,n_measurements
2024-02-09 00:30:00,2024-02-09,0.158,3400,571,9
2024-02-09 00:30:00,2024-02-09,0.2,3400,1224,75
2024-02-09 00:30:00,2024-02-09,0.251,3700,1256,90
2024-02-09 00:30:00,2024-02-09,0.316,3900,711,63
2024-02-09 01:30:00,2024-02-09,0.158,1900,2122,17
2024-02-09 01:30:00,2024-02-09,0.2,3000,1844,82
2024-02-09 01:30:00,2024-02-09,0.251,3300,1613,125
2024-02-09 01:30:00,2024-02-09,0.316,3600,1505,105
2024-02-09 02:30:00,2024-02-09,0.158,2200,3428,16
2024-02-09 02:30:00,2024-02-09,0.2,2100,2969,90
2024-02-09 02:30:00,2024-02-09,0.251,2100,2471,134
2024-02-09 02:30:00,2024-02-09,0.316,2500,2038,107
2024-02-09 03:30:00,2024-02-09,0.158,1100,2871,12
2024-02-09 03:30:00,2024-02-09,0.2,1800,4308,91
2024-02-09 03:30:00,2024-02-09,0.251,1900,3902,129
2024-02-09 03:30:00,2024-02-09,0.316,2400,4088,93
2024-02-09 04:30:00,2024-02-09,0.158,1600,4194,10
2024-02-09 04:30:00,2024-02-09,0.2,1300,4466,96
2024-02-09 04:30:00,2024-02-09,0.251,0,31662,117
2024-02-09 04:30:00,2024-02-09,0.316,1400,5882,91
2024-02-09 05:30:00,2024-02-09,0.158,0,13618,22
2024-02-09 05:30:00,2024-02-09,0.2,0,25696,102
2024-02-09 05:30:00,2024-02-09,0.251,0,10075,124
2024-02-09 05:30:00,2024-02-09,0.316,0,31551,84
2024-02-09 06:30:00,2024-02-09,0.158,5900,10227,7
2024-02-09 06:30:00,2024-02-09,0.2,0,48351,97
2024-02-09 06:30:00,2024-02-09,0.251,0,45217,108
2024-02-09 06:30:00,2024-02-09,0.316,0,50869,80
2024-02-09 07:30:00,2024-02-09,0.158,1100,28598,15
2024-02-09 07:30:00,2024-02-09,0.2,2100,16750,90
2024-02-09 07:30:00,2024-02-09,0.251,1400,39209,114
2024-02-09 07:30:00,2024-02-09,0.316,2900,4854,67
2024-02-09 08:30:00,2024-02-09,0.158,2900,538,27
2024-02-09 08:30:00,2024-02-09,0.2,2900,8766,103
