timestamp,day,fband,velocity,deviation,n_measurements
2024-01-08 00:30:00,2024-01-08,0.158,5900,2551,42
2024-01-08 00:30:00,2024-01-08,0.2,5900,4047,50
2024-01-08 00:30:00,2024-01-08,0.251,1900,5677,22
2024-01-08 01:30:00,2024-01-08,0.158,5900,2214,43
2024-01-08 01:30:00,2024-01-08,0.2,5900,4015,59
2024-01-08 01:30:00,2024-01-08,0.251,5400,6200,37
2024-01-08 01:30:00,2024-01-08,0.316,2600,6391,6
2024-01-08 02:30:00,2024-01-08,0.158,5900,2451,52
2024-01-08 02:30:00,2024-01-08,0.2,5900,4600,53
2024-01-08 02:30:00,2024-01-08,0.251,3600,6197,32
2024-01-08 03:30:00,2024-01-08,0.158,5900,1423,43
2024-01-08 03:30:00,2024-01-08,0.2,5900,2538,51
2024-01-08 03:30:00,2024-01-08,0.251,700,4959,25
2024-01-08 03:30:00,2024-01-08,0.316,3900,5372,11
2024-01-08 04:30:00,2024-01-08,0.158,5500,1305,37
2024-01-08 04:30:00,2024-01-08,0.2,4700,1338,47
2024-01-08 04:30:00,2024-01-08,0.251,2900,4180,32
2024-01-08 04:30:00,2024-01-08,0.316,2600,4518,5
2024-01-08 05:30:00,2024-01-08,0.158,3200,776,47
2024-01-08 05:30:00,2024-01-08,0.2,2500,1027,44
2024-01-08 05:30:00,2024-01-08,0.251,2300,1898,33
2024-01-08 06:30:00,2024-01-08,0.158,2000,6381,45
2024-01-08 06:30:00,2024-01-08,0.2,2000,2685,50
2024-01-08 06:30:00,2024-01-08,0.251,1700,3332,33
2024-01-08 06:30:00,2024-01-08,0.316,2600,4199,9
2024-01-08 07:30:00,2024-01-08,0.158,0,67280,46
2024-01-08 07:30:00,2024-01-08,0.2,0,200406,57
2024-01-08 07:30:00,2024-01-08,0.251,0,152149,30
2024-01-08 08:30:00,2024-01-08,0.158,0,216155,46
2024-01-08 08:30:00,2024-01-08,0.2,0,173618,44
2024-01-08 08:30:00,2024-01-08,0.251,0,349276,28
2024-01-08 09:30:00,2024-01-08,0.158,0,181970,31
2024-01-08 09:30:00,2024-01-08,0.2,0,185144,49
2024-01-08 09:30:00,2024-01-08,0.251,0,248568,30
2024-01-08 09:30:00,2024-01-08,0.316,0,321623,11
2024-01-08 10:30:00,2024-01-08,0.158,5900,322809,22
2024-01-08 10:30:00,2024-01-08,0.2,5900,155188,43
2024-01-08 10:30:00,2024-01-08,0.251,5900,286529,32
2024-01-08 10:30:00,2024-01-08,0.316,5900,315755,12
2024-01-08 11:30:00,2024-01-08,0.158,5900,177057,17
2024-01-08 11:30:00,2024-01-08,0.2,5900,127583,40
2024-01-08 11:30:00,2024-01-08,0.251,5900,181007,41
2024-01-08 11:30:00,2024-01-08,0.316,5900,130785,21
2024-01-08 12:30:00,2024-01-08,0.158,5900,16500,21
2024-01-08 12:30:00,2024-01-08,0.2,5900,25497,38
2024-01-08 12:30:00,2024-01-08,0.251,5900,107606,48
2024-01-08 12:30:00,2024-01-08,0.316,5900,35593,9
2024-01-08 13:30:00,2024-01-08,0.158,5900,10352,24
2024-01-08 13:30:00,2024-01-08,0.2,5900,8843,35
2024-01-08 13:30:00,2024-01-08,0.251,5900,107103,50
2024-01-08 13:30:00,2024-01-08,0.316,5900,7420,22
2024-01-08 14:30:00,2024-01-08,0.158,5900,4271,15
2024-01-08 14:30:00,2024-01-08,0.2,5900,7100,31
2024-01-08 14:30:00,2024-01-08,0.251,5900,21287,67
2024-01-08 14:30:00,2024-01-08,0.316,5800,116823,12
2024-01-08 15:30:00,2024-01-08,0.158,5900,7847,11
2024-01-08 15:30:00,2024-01-08,0.2,5900,102935,31
