timestamp,day,fband,velocity,deviation,n_measurements
2024-02-05 00:30:00,2024-02-05,0.126,2000,1389,31
2024-02-05 00:30:00,2024-02-05,0.158,2600,1419,53
2024-02-05 00:30:00,2024-02-05,0.2,2900,1538,78
2024-02-05 00:30:00,2024-02-05,0.251,3300,851,50
2024-02-05 00:30:00,2024-02-05,0.316,3000,1327,8
2024-02-05 01:30:00,2024-02-05,0.126,2400,2252,36
2024-02-05 01:30:00,2024-02-05,0.158,2400,2161,64
2024-02-05 01:30:00,2024-02-05,0.2,2500,14774,86
2024-02-05 01:30:00,2024-02-05,0.251,2800,1867,90
2024-02-05 01:30:00,2024-02-05,0.316,2300,1781,25
2024-02-05 02:30:00,2024-02-05,0.126,2300,2418,33
2024-02-05 02:30:00,2024-02-05,0.158,1800,2434,69
2024-02-05 02:30:00,2024-02-05,0.2,2300,2150,78
2024-02-05 02:30:00,2024-02-05,0.251,2100,1439,84
2024-02-05 02:30:00,2024-02-05,0.316,2100,1014,18
2024-02-05 03:30:00,2024-02-05,0.126,1800,2444,40
2024-02-05 03:30:00,2024-02-05,0.158,1700,1838,67
2024-02-05 03:30:00,2024-02-05,0.2,2100,1560,86
2024-02-05 03:30:00,2024-02-05,0.251,1800,1634,85
2024-02-05 03:30:00,2024-02-05,0.316,1900,1232,22
2024-02-05 04:30:00,2024-02-05,0.126,1900,1617,38
2024-02-05 04:30:00,2024-02-05,0.158,1600,1027,65
2024-02-05 04:30:00,2024-02-05,0.2,1700,960,89
2024-02-05 04:30:00,2024-02-05,0.251,1600,889,70
2024-02-05 04:30:00,2024-02-05,0.316,1800,746,30
2024-02-05 05:30:00,2024-02-05,0.126,1600,1220,40
2024-02-05 05:30:00,2024-02-05,0.158,1700,846,65
2024-02-05 05:30:00,2024-02-05,0.2,1800,857,75
2024-02-05 05:30:00,2024-02-05,0.251,2000,878,79
2024-02-05 05:30:00,2024-02-05,0.316,2000,655,25
2024-02-05 06:30:00,2024-02-05,0.126,1900,1431,31
2024-02-05 06:30:00,2024-02-05,0.158,1900,1053,73
2024-02-05 06:30:00,2024-02-05,0.2,2000,914,98
2024-02-05 06:30:00,2024-02-05,0.251,2200,784,78
2024-02-05 06:30:00,2024-02-05,0.316,2000,937,19
2024-02-05 07:30:00,2024-02-05,0.126,2700,2425,33
2024-02-05 07:30:00,2024-02-05,0.158,2900,923,65
2024-02-05 07:30:00,2024-02-05,0.2,2900,1032,81
2024-02-05 07:30:00,2024-02-05,0.251,2900,1121,96
2024-02-05 07:30:00,2024-02-05,0.316,3100,1399,14
2024-02-05 08:30:00,2024-02-05,0.126,3400,2721,21
2024-02-05 08:30:00,2024-02-05,0.158,3400,1351,74
