timestamp,day,fband,velocity,deviation,n_measurements
2024-02-19 00:30:00,2024-02-19,0.126,0,934,47
2024-02-19 00:30:00,2024-02-19,0.158,0,788,15
2024-02-19 01:30:00,2024-02-19,0.126,1000,697,52
2024-02-19 01:30:00,2024-02-19,0.158,400,1039,23
2024-02-19 02:30:00,2024-02-19,0.126,800,415,55
2024-02-19 02:30:00,2024-02-19,0.158,500,465,28
2024-02-19 03:30:00,2024-02-19,0.126,800,417,61
2024-02-19 03:30:00,2024-02-19,0.158,900,358,18
2024-02-19 04:30:00,2024-02-19,0.126,600,405,51
2024-02-19 04:30:00,2024-02-19,0.158,600,412,21
2024-02-19 04:30:00,2024-02-19,0.2,400,335,11
2024-02-19 05:30:00,2024-02-19,0.126,300,716,60
2024-02-19 05:30:00,2024-02-19,0.158,400,749,33
2024-02-19 06:30:00,2024-02-19,0.126,100,1439,65
2024-02-19 06:30:00,2024-02-19,0.158,0,1359,21
2024-02-19 07:30:00,2024-02-19,0.126,0,6531,57
2024-02-19 07:30:00,2024-02-19,0.158,0,2059,35
2024-02-19 07:30:00,2024-02-19,0.2,400,1333,5
2024-02-19 08:30:00,2024-02-19,0.126,0,3044,53
2024-02-19 08:30:00,2024-02-19,0.158,0,3062,40
2024-02-19 08:30:00,2024-02-19,0.2,0,3822,9
2024-02-19 09:30:00,2024-02-19,0.126,0,4708,60
2024-02-19 09:30:00,2024-02-19,0.158,0,16392,40
2024-02-19 09:30:00,2024-02-19,0.2,1800,4564,10
2024-02-19 09:30:00,2024-02-19,0.251,0,4342,5
2024-02-19 10:30:00,2024-02-19,0.126,0,111712,58
2024-02-19 10:30:00,2024-02-19,0.158,100,84807,41
2024-02-19 11:30:00,2024-02-19,0.126,2700,53932,59
2024-02-19 11:30:00,2024-02-19,0.158,2500,36919,44
2024-02-19 11:30:00,2024-02-19,0.2,1200,1088,5
2024-02-19 12:30:00,2024-02-19,0.126,1500,840,64
2024-02-19 12:30:00,2024-02-19,0.158,1600,7110,53
2024-02-19 12:30:00,2024-02-19,0.2,1100,1331,12
2024-02-19 13:30:00,2024-02-19,0.126,0,24419,64
2024-02-19 13:30:00,2024-02-19,0.158,0,51437,31
2024-02-19 14:30:00,2024-02-19,0.126,700,1826,63
2024-02-19 14:30:00,2024-02-19,0.158,0,2279,26
2024-02-19 15:30:00,2024-02-19,0.126,0,1564,66
2024-02-19 15:30:00,2024-02-19,0.158,0,1527,25
2024-02-19 15:30:00,2024-02-19,0.2,0,401,5
2024-02-19 16:30:00,2024-02-19,0.126,0,1284,64
2024-02-19 16:30:00,2024-02-19,0.158,0,1315,40
2024-02-19 17:30:00,2024-02-19,0.126,0,1179,67
2024-02-19 17:30:00,2024-02-19,0.158,0,968,32
2024-02-19 18:30:00,2024-02-19,0.126,300,687,68
2024-02-19 18:30:00,2024-02-19,0.158,0,849,29
2024-02-19 19:30:00,2024-02-19,0.126,400,370,58
2024-02-19 19:30:00,2024-02-19,0.158,500,446,34
2024-02-19 20:30:00,2024-02-19,0.126,700,172,71
2024-02-19 20:30:00,2024-02-19,0.158,700,197,36
2024-02-19 21:30:00,2024-02-19,0.126,800,485,68
2024-02-19 21:30:00,2024-02-19,0.158,1000,496,37
2024-02-19 22:30:00,2024-02-19,0.126,500,743,64
2024-02-19 22:30:00,2024-02-19,0.158,800,600,33
2024-02-19 22:30:00,2024-02-19,0.2,0,873,9
2024-02-19 23:30:00,2024-02-19,0.126,400,932,60
2024-02-19 23:30:00,2024-02-19,0.158,1100,1026,34
2024-02-19 23:30:00,2024-02-19,0.2,1300,683,7
2024-02-19 23:30:00,2024-02-19,0.251,2200,468,6
