timestamp,day,fband,velocity,deviation,n_measurements
2024-01-03 00:30:00,2024-01-03,0.126,100,114,13
2024-01-03 00:30:00,2024-01-03,0.158,100,119,53
2024-01-03 00:30:00,2024-01-03,0.2,100,88,103
2024-01-03 00:30:00,2024-01-03,0.251,100,114,134
2024-01-03 00:30:00,2024-01-03,0.316,100,123,99
2024-01-03 00:30:00,2024-01-03,0.398,100,111,19
2024-01-03 01:30:00,2024-01-03,0.126,0,194,23
2024-01-03 01:30:00,2024-01-03,0.158,100,157,61
2024-01-03 01:30:00,2024-01-03,0.2,100,148,105
2024-01-03 01:30:00,2024-01-03,0.251,0,173,132
2024-01-03 01:30:00,2024-01-03,0.316,100,187,125
2024-01-03 01:30:00,2024-01-03,0.398,0,178,28
2024-01-03 02:30:00,2024-01-03,0.1,400,101,6
2024-01-03 02:30:00,2024-01-03,0.126,0,223,23
2024-01-03 02:30:00,2024-01-03,0.158,0,217,80
2024-01-03 02:30:00,2024-01-03,0.2,0,200,112
2024-01-03 02:30:00,2024-01-03,0.251,0,248,135
2024-01-03 02:30:00,2024-01-03,0.316,200,280,143
2024-01-03 02:30:00,2024-01-03,0.398,0,375,19
2024-01-03 03:30:00,2024-01-03,0.126,0,261,22
2024-01-03 03:30:00,2024-01-03,0.158,0,262,74
2024-01-03 03:30:00,2024-01-03,0.2,0,261,113
2024-01-03 03:30:00,2024-01-03,0.251,0,290,134
2024-01-03 03:30:00,2024-01-03,0.316,0,317,141
2024-01-03 03:30:00,2024-01-03,0.398,0,354,15
2024-01-03 04:30:00,2024-01-03,0.126,100,246,35
2024-01-03 04:30:00,2024-01-03,0.158,0,269,78
2024-01-03 04:30:00,2024-01-03,0.2,100,257,113
2024-01-03 04:30:00,2024-01-03,0.251,0,302,132
2024-01-03 04:30:00,2024-01-03,0.316,0,314,147
2024-01-03 04:30:00,2024-01-03,0.398,0,295,10
2024-01-03 05:30:00,2024-01-03,0.126,0,270,45
2024-01-03 05:30:00,2024-01-03,0.158,0,277,84
2024-01-03 05:30:00,2024-01-03,0.2,0,276,110
2024-01-03 05:30:00,2024-01-03,0.251,0,320,138
2024-01-03 05:30:00,2024-01-03,0.316,0,340,157
2024-01-03 05:30:00,2024-01-03,0.398,0,215,8
2024-01-03 06:30:00,2024-01-03,0.126,100,336,43
2024-01-03 06:30:00,2024-01-03,0.158,100,364,86
2024-01-03 06:30:00,2024-01-03,0.2,200,405,108
2024-01-03 06:30:00,2024-01-03,0.251,200,408,140
2024-01-03 06:30:00,2024-01-03,0.316,0,477,154
2024-01-03 06:30:00,2024-01-03,0.398,200,649,13
2024-01-03 07:30:00,2024-01-03,0.126,500,536,44
2024-01-03 07:30:00,2024-01-03,0.158,700,455,83
2024-01-03 07:30:00,2024-01-03,0.2,500,546,103
2024-01-03 07:30:00,2024-01-03,0.251,500,586,140
2024-01-03 07:30:00,2024-01-03,0.316,500,637,149
2024-01-03 07:30:00,2024-01-03,0.398,900,500,7
2024-01-03 08:30:00,2024-01-03,0.126,1200,649,57
2024-01-03 08:30:00,2024-01-03,0.158,1400,622,84
2024-01-03 08:30:00,2024-01-03,0.2,1400,616,106
2024-01-03 08:30:00,2024-01-03,0.251,1200,570,141
2024-01-03 08:30:00,2024-01-03,0.316,1300,681,157
2024-01-03 08:30:00,2024-01-03,0.398,1100,585,13
2024-01-03 08:30:00,2024-01-03,0.631,2600,1703,7
2024-01-03 08:30:00,2024-01-03,0.794,3300,2362,7
2024-01-03 08:30:00,2024-01-03,1.0,2900,1391,8
2024-01-03 09:30:00,2024-01-03,0.126,1500,1172,41
2024-01-03 09:30:00,2024-01-03,0.158,1700,663,75
2024-01-03 09:30:00,2024-01-03,0.2,1700,583,92
2024-01-03 09:30:00,2024-01-03,0.251,1600,632,133
2024-01-03 09:30:00,2024-01-03,0.316,1700,803,143
2024-01-03 09:30:00,2024-01-03,0.398,1200,861,15
2024-01-03 10:30:00,2024-01-03,0.126,1900,1595,42
2024-01-03 10:30:00,2024-01-03,0.158,2300,895,78
2024-01-03 10:30:00,2024-01-03,0.2,2300,929,93
2024-01-03 10:30:00,2024-01-03,0.251,2200,811,134
2024-01-03 10:30:00,2024-01-03,0.316,2300,883,145
2024-01-03 10:30:00,2024-01-03,0.398,1600,1296,27
2024-01-03 11:30:00,2024-01-03,0.1,1600,1740,11
2024-01-03 11:30:00,2024-01-03,0.126,2100,3922,53
2024-01-03 11:30:00,2024-01-03,0.158,2200,1764,66
2024-01-03 11:30:00,2024-01-03,0.2,2100,2417,85
2024-01-03 11:30:00,2024-01-03,0.251,2000,1506,119
2024-01-03 11:30:00,2024-01-03,0.316,2200,9686,140
2024-01-03 11:30:00,2024-01-03,0.398,1400,8322,45
2024-01-03 11:30:00,2024-01-03,0.501,1100,1083,7
2024-01-03 12:30:00,2024-01-03,0.126,2700,7355,40
2024-01-03 12:30:00,2024-01-03,0.158,2400,41173,75
2024-01-03 12:30:00,2024-01-03,0.2,3200,48601,100
2024-01-03 12:30:00,2024-01-03,0.251,3200,28994,125
2024-01-03 12:30:00,2024-01-03,0.316,2600,32694,139
2024-01-03 12:30:00,2024-01-03,0.398,1600,2510,21
2024-01-03 13:30:00,2024-01-03,0.126,2200,10423,49
2024-01-03 13:30:00,2024-01-03,0.158,2300,32940,79
2024-01-03 13:30:00,2024-01-03,0.2,2200,41812,102
2024-01-03 13:30:00,2024-01-03,0.251,2100,27026,130
2024-01-03 13:30:00,2024-01-03,0.316,2100,23676,144
2024-01-03 13:30:00,2024-01-03,0.398,2100,3832,18
2024-01-03 14:30:00,2024-01-03,0.126,1800,1548,52
2024-01-03 14:30:00,2024-01-03,0.158,1700,1731,78
2024-01-03 14:30:00,2024-01-03,0.2,1700,1382,104
2024-01-03 14:30:00,2024-01-03,0.251,1700,1581,140
2024-01-03 14:30:00,2024-01-03,0.316,1600,1608,138
2024-01-03 14:30:00,2024-01-03,0.398,2100,1822,5
2024-01-03 15:30:00,2024-01-03,0.126,900,1021,47
2024-01-03 15:30:00,2024-01-03,0.158,1000,606,71
2024-01-03 15:30:00,2024-01-03,0.2,1000,632,103
2024-01-03 15:30:00,2024-01-03,0.251,900,728,128
2024-01-03 15:30:00,2024-01-03,0.316,1000,827,132
2024-01-03 15:30:00,2024-01-03,0.398,600,967,6
2024-01-03 16:30:00,2024-01-03,0.126,200,315,49
2024-01-03 16:30:00,2024-01-03,0.158,100,323,78
2024-01-03 16:30:00,2024-01-03,0.2,100,360,102
2024-01-03 16:30:00,2024-01-03,0.251,200,368,132
2024-01-03 16:30:00,2024-01-03,0.316,200,406,140
2024-01-03 16:30:00,2024-01-03,0.398,400,264,6
2024-01-03 17:30:00,2024-01-03,0.126,0,414,46
2024-01-03 17:30:00,2024-01-03,0.158,0,384,87
2024-01-03 17:30:00,2024-01-03,0.2,0,379,110
2024-01-03 17:30:00,2024-01-03,0.251,0,432,130
2024-01-03 17:30:00,2024-01-03,0.316,100,438,142
2024-01-03 18:30:00,2024-01-03,0.126,0,577,52
2024-01-03 18:30:00,2024-01-03,0.158,0,572,84
2024-01-03 18:30:00,2024-01-03,0.2,0,522,107
2024-01-03 18:30:00,2024-01-03,0.251,0,523,135
2024-01-03 18:30:00,2024-01-03,0.316,0,515,144
2024-01-03 19:30:00,2024-01-03,0.126,0,395,54
2024-01-03 19:30:00,2024-01-03,0.158,0,441,89
2024-01-03 19:30:00,2024-01-03,0.2,0,463,115
2024-01-03 19:30:00,2024-01-03,0.251,0,524,129
2024-01-03 19:30:00,2024-01-03,0.316,0,482,132
2024-01-03 20:30:00,2024-01-03,0.126,0,505,43
2024-01-03 20:30:00,2024-01-03,0.158,0,480,76
2024-01-03 20:30:00,2024-01-03,0.2,0,448,85
2024-01-03 20:30:00,2024-01-03,0.251,0,459,114
2024-01-03 20:30:00,2024-01-03,0.316,0,448,129
2024-01-03 20:30:00,2024-01-03,0.398,500,637,21
2024-01-03 21:30:00,2024-01-03,0.1,200,470,5
2024-01-03 21:30:00,2024-01-03,0.126,0,473,38
2024-01-03 21:30:00,2024-01-03,0.158,0,455,63
2024-01-03 21:30:00,2024-01-03,0.2,0,482,90
2024-01-03 21:30:00,2024-01-03,0.251,0,440,97
2024-01-03 21:30:00,2024-01-03,0.316,0,426,135
2024-01-03 21:30:00,2024-01-03,0.398,100,458,20
2024-01-03 22:30:00,2024-01-03,0.126,0,304,46
2024-01-03 22:30:00,2024-01-03,0.158,0,254,73
2024-01-03 22:30:00,2024-01-03,0.2,0,271,97
2024-01-03 22:30:00,2024-01-03,0.251,0,245,110
2024-01-03 22:30:00,2024-01-03,0.316,0,270,128
2024-01-03 22:30:00,2024-01-03,0.398,0,212,13
2024-01-03 23:30:00,2024-01-03,0.126,0,89,44
2024-01-03 23:30:00,2024-01-03,0.158,0,79,77
2024-01-03 23:30:00,2024-01-03,0.2,0,110,98
2024-01-03 23:30:00,2024-01-03,0.251,0,99,95
2024-01-03 23:30:00,2024-01-03,0.316,0,80,98
