timestamp,day,fband,velocity,deviation,n_measurements
2024-02-27 00:30:00,2024-02-27,0.158,600,567,56
2024-02-27 00:30:00,2024-02-27,0.2,900,533,80
2024-02-27 00:30:00,2024-02-27,0.251,600,581,89
2024-02-27 00:30:00,2024-02-27,0.316,500,598,68
2024-02-27 01:30:00,2024-02-27,0.158,600,342,61
2024-02-27 01:30:00,2024-02-27,0.2,600,404,105
2024-02-27 01:30:00,2024-02-27,0.251,700,320,110
2024-02-27 01:30:00,2024-02-27,0.316,400,371,95
2024-02-27 02:30:00,2024-02-27,0.158,200,158,54
2024-02-27 02:30:00,2024-02-27,0.2,300,155,102
2024-02-27 02:30:00,2024-02-27,0.251,300,190,105
2024-02-27 02:30:00,2024-02-27,0.316,400,176,82
2024-02-27 03:30:00,2024-02-27,0.158,0,200,51
2024-02-27 03:30:00,2024-02-27,0.2,0,211,95
2024-02-27 03:30:00,2024-02-27,0.251,0,235,107
2024-02-27 03:30:00,2024-02-27,0.316,0,232,62
2024-02-27 04:30:00,2024-02-27,0.158,0,285,53
2024-02-27 04:30:00,2024-02-27,0.2,0,280,100
2024-02-27 04:30:00,2024-02-27,0.251,0,305,107
2024-02-27 04:30:00,2024-02-27,0.316,0,321,72
2024-02-27 05:30:00,2024-02-27,0.158,0,291,43
2024-02-27 05:30:00,2024-02-27,0.2,0,366,99
2024-02-27 05:30:00,2024-02-27,0.251,0,284,97
2024-02-27 05:30:00,2024-02-27,0.316,0,251,56
2024-02-27 06:30:00,2024-02-27,0.158,0,322,36
2024-02-27 06:30:00,2024-02-27,0.2,0,424,94
2024-02-27 06:30:00,2024-02-27,0.251,0,335,91
2024-02-27 06:30:00,2024-02-27,0.316,0,349,64
2024-02-27 07:30:00,2024-02-27,0.158,0,660,31
2024-02-27 07:30:00,2024-02-27,0.2,0,616,88
2024-02-27 07:30:00,2024-02-27,0.251,0,732,90
2024-02-27 07:30:00,2024-02-27,0.316,0,745,58
2024-02-27 08:30:00,2024-02-27,0.158,1100,1091,19
2024-02-27 08:30:00,2024-02-27,0.2,1100,1235,90
2024-02-27 08:30:00,2024-02-27,0.251,1100,1025,88
2024-02-27 08:30:00,2024-02-27,0.316,1800,1084,45
2024-02-27 09:30:00,2024-02-27,0.158,2000,984,29
2024-02-27 09:30:00,2024-02-27,0.2,2300,1533,77
2024-02-27 09:30:00,2024-02-27,0.251,2400,1464,75
2024-02-27 09:30:00,2024-02-27,0.316,2700,1111,43
2024-02-27 10:30:00,2024-02-27,0.158,4500,1576,26
2024-02-27 10:30:00,2024-02-27,0.2,4500,1708,81
2024-02-27 10:30:00,2024-02-27,0.251,4200,1458,83
2024-02-27 10:30:00,2024-02-27,0.316,4700,1217,57
2024-02-27 11:30:00,2024-02-27,0.158,5900,4573,32
2024-02-27 11:30:00,2024-02-27,0.2,5900,5330,75
2024-02-27 11:30:00,2024-02-27,0.251,5900,6734,71
2024-02-27 11:30:00,2024-02-27,0.316,5900,121670,41
2024-02-27 12:30:00,2024-02-27,0.158,0,324216,30
2024-02-27 12:30:00,2024-02-27,0.2,3600,280126,80
2024-02-27 12:30:00,2024-02-27,0.251,4700,240934,72
2024-02-27 12:30:00,2024-02-27,0.316,5900,292072,41
2024-02-27 13:30:00,2024-02-27,0.126,2100,8412,5
2024-02-27 13:30:00,2024-02-27,0.158,0,103408,44
2024-02-27 13:30:00,2024-02-27,0.2,0,100236,75
2024-02-27 13:30:00,2024-02-27,0.251,0,165400,78
2024-02-27 13:30:00,2024-02-27,0.316,0,140892,56
2024-02-27 14:30:00,2024-02-27,0.126,0,5054,5
2024-02-27 14:30:00,2024-02-27,0.158,800,5369,45
2024-02-27 14:30:00,2024-02-27,0.2,800,5305,65
2024-02-27 14:30:00,2024-02-27,0.251,1900,7512,75
2024-02-27 14:30:00,2024-02-27,0.316,2800,6498,52
2024-02-27 15:30:00,2024-02-27,0.126,200,3243,20
2024-02-27 15:30:00,2024-02-27,0.158,0,3525,37
2024-02-27 15:30:00,2024-02-27,0.2,1200,3921,69
2024-02-27 15:30:00,2024-02-27,0.251,500,4125,64
2024-02-27 15:30:00,2024-02-27,0.316,3000,4221,37
2024-02-27 16:30:00,2024-02-27,0.126,0,2015,30
2024-02-27 16:30:00,2024-02-27,0.158,0,2550,51
2024-02-27 16:30:00,2024-02-27,0.2,300,2634,68
2024-02-27 16:30:00,2024-02-27,0.251,800,2509,62
2024-02-27 16:30:00,2024-02-27,0.316,1700,1863,40
2024-02-27 17:30:00,2024-02-27,0.126,500,1001,46
