timestamp,baz_max,baz_mid,baz_max_std,baz_mid_std,baz_max_mad,baz_mid_mad,count_max,count_mid
2024-01-22 00:30:00,274.0,283.0,29.0,29.0,93.0,106.0,100.0,83.0
2024-01-22 01:30:00,279.0,288.0,21.0,25.0,98.0,112.0,110.0,93.0
2024-01-22 02:30:00,279.0,287.0,23.0,28.0,97.0,112.0,120.0,98.0
2024-01-22 03:30:00,279.0,277.0,24.0,26.0,97.0,94.0,112.0,95.0
2024-01-22 04:30:00,282.0,290.0,21.0,29.0,103.0,120.0,120.0,98.0
2024-01-22 05:30:00,282.0,281.0,20.0,27.0,103.0,104.0,108.0,95.0
2024-01-22 06:30:00,285.0,274.0,24.0,25.0,105.0,88.0,107.0,95.0
2024-01-22 07:30:00,283.0,283.0,30.0,29.0,101.0,102.0,99.0,81.0
2024-01-22 08:30:00,290.0,285.0,32.0,30.0,112.0,106.0,90.0,77.0
2024-01-22 09:30:00,284.0,275.0,26.0,23.0,104.0,91.0,96.0,74.0
2024-01-22 10:30:00,283.0,269.0,28.0,28.0,103.0,81.0,91.0,78.0
2024-01-22 11:30:00,287.0,279.0,29.0,31.0,104.0,100.0,96.0,67.0
2024-01-22 12:30:00,284.0,278.0,26.0,26.0,107.0,98.0,79.0,69.0
2024-01-22 13:30:00,285.0,274.0,25.0,24.0,104.0,92.0,88.0,66.0
2024-01-22 14:30:00,289.0,283.0,26.0,28.0,109.0,100.0,66.0,53.0
2024-01-22 15:30:00,279.0,283.0,28.0,22.0,99.0,106.0,76.0,58.0
2024-01-22 16:30:00,279.0,303.0,29.0,31.0,98.0,140.0,77.0,65.0
2024-01-22 17:30:00,288.0,282.0,40.0,26.0,110.0,100.0,74.0,52.0
2024-01-22 18:30:00,69.0,59.0,61.0,54.0,98.0,114.0,76.0,61.0
2024-01-22 19:30:00,290.0,289.0,64.0,67.0,104.0,100.0,42.0,32.0
2024-01-22 20:30:00,276.0,271.0,26.0,26.0,94.0,88.0,98.0,79.0
2024-01-22 21:30:00,279.0,274.0,22.0,25.0,100.0,90.0,107.0,83.0
2024-01-22 22:30:00,295.0,282.0,26.0,30.0,119.0,100.0,93.0,74.0
2024-01-22 23:30:00,276.0,281.0,33.0,27.0,92.0,98.0,90.0,69.0
