timestamp,baz_max,baz_mid,baz_max_std,baz_mid_std,baz_max_mad,baz_mid_mad,count_max,count_mid,year
2024-01-01 00:30:00,,,,,,,,,2024
2024-01-01 01:30:00,,,,,,,,,2024
2024-01-01 02:30:00,,,,,,,,,2024
2024-01-01 03:30:00,,,,,,,,,2024
2024-01-01 04:30:00,,,,,,,,,2024
2024-01-01 05:30:00,,,,,,,,,2024
2024-01-01 06:30:00,,,,,,,,,2024
2024-01-01 07:30:00,,,,,,,,,2024
2024-01-01 08:30:00,,,,,,,,,2024
2024-01-01 09:30:00,,,,,,,,,2024
2024-01-01 10:30:00,,,,,,,,,2024
2024-01-01 11:30:00,,,,,,,,,2024
2024-01-01 12:30:00,,,,,,,,,2024
2024-01-01 13:30:00,,,,,,,,,2024
2024-01-01 14:30:00,,,,,,,,,2024
2024-01-01 15:30:00,,,,,,,,,2024
2024-01-01 16:30:00,,,,,,,,,2024
2024-01-01 17:30:00,,,,,,,,,2024
2024-01-01 18:30:00,,,,,,,,,2024
2024-01-01 19:30:00,,,,,,,,,2024
2024-01-01 20:30:00,,,,,,,,,2024
2024-01-01 21:30:00,,,,,,,,,2024
2024-01-01 22:30:00,,,,,,,,,2024
2024-01-01 23:30:00,,,,,,,,,2024
2024-01-02 00:30:00,,,,,,,,,2024
2024-01-02 01:30:00,,,,,,,,,2024
2024-01-02 02:30:00,,,,,,,,,2024
2024-01-02 03:30:00,,,,,,,,,2024
2024-01-02 04:30:00,,,,,,,,,2024
2024-01-02 05:30:00,,,,,,,,,2024
2024-01-02 06:30:00,,,,,,,,,2024
2024-01-02 07:30:00,,,,,,,,,2024
2024-01-02 08:30:00,,,,,,,,,2024
2024-01-02 09:30:00,,,,,,,,,2024
2024-01-02 10:30:00,,,,,,,,,2024
2024-01-02 11:30:00,,,,,,,,,2024
2024-01-02 12:30:00,,,,,,,,,2024
2024-01-02 13:30:00,,,,,,,,,2024
2024-01-02 14:30:00,,,,,,,,,2024
2024-01-02 15:30:00,,,,,,,,,2024
2024-01-02 16:30:00,,,,,,,,,2024
2024-01-02 17:30:00,,,,,,,,,2024
2024-01-02 18:30:00,,,,,,,,,2024
2024-01-02 19:30:00,,,,,,,,,2024
2024-01-02 20:30:00,,,,,,,,,2024
2024-01-02 21:30:00,,,,,,,,,2024
2024-01-02 22:30:00,,,,,,,,,2024
2024-01-02 23:30:00,,,,,,,,,2024
2024-01-03 00:30:00,,,,,,,,,2024
2024-01-03 01:30:00,,,,,,,,,2024
2024-01-03 02:30:00,,,,,,,,,2024
2024-01-03 03:30:00,,,,,,,,,2024
2024-01-03 04:30:00,,,,,,,,,2024
2024-01-03 05:30:00,,,,,,,,,2024
2024-01-03 06:30:00,,,,,,,,,2024
2024-01-03 07:30:00,,,,,,,,,2024
2024-01-03 08:30:00,,,,,,,,,2024
2024-01-03 09:30:00,,,,,,,,,2024
2024-01-03 10:30:00,,,,,,,,,2024
2024-01-03 11:30:00,,,,,,,,,2024
2024-01-03 12:30:00,,,,,,,,,2024
2024-01-03 13:30:00,,,,,,,,,2024
2024-01-03 14:30:00,,,,,,,,,2024
2024-01-03 15:30:00,,,,,,,,,2024
2024-01-03 16:30:00,,,,,,,,,2024
2024-01-03 17:30:00,,,,,,,,,2024
2024-01-03 18:30:00,,,,,,,,,2024
2024-01-03 19:30:00,,,,,,,,,2024
2024-01-03 20:30:00,,,,,,,,,2024
2024-01-03 21:30:00,,,,,,,,,2024
2024-01-03 22:30:00,,,,,,,,,2024
2024-01-03 23:30:00,,,,,,,,,2024
2024-01-04 00:30:00,,,,,,,,,2024
2024-01-04 01:30:00,,,,,,,,,2024
2024-01-04 02:30:00,,,,,,,,,2024
2024-01-04 03:30:00,,,,,,,,,2024
2024-01-04 04:30:00,,,,,,,,,2024
2024-01-04 05:30:00,,,,,,,,,2024
2024-01-04 06:30:00,,,,,,,,,2024
2024-01-04 07:30:00,,,,,,,,,2024
2024-01-04 08:30:00,,,,,,,,,2024
2024-01-04 09:30:00,,,,,,,,,2024
2024-01-04 10:30:00,,,,,,,,,2024
2024-01-04 11:30:00,,,,,,,,,2024
2024-01-04 12:30:00,,,,,,,,,2024
2024-01-04 13:30:00,,,,,,,,,2024
2024-01-04 14:30:00,,,,,,,,,2024
2024-01-04 15:30:00,,,,,,,,,2024
2024-01-04 16:30:00,,,,,,,,,2024
2024-01-04 17:30:00,,,,,,,,,2024
2024-01-04 18:30:00,,,,,,,,,2024
2024-01-04 19:30:00,,,,,,,,,2024
2024-01-04 20:30:00,,,,,,,,,2024
2024-01-04 21:30:00,,,,,,,,,2024
2024-01-04 22:30:00,,,,,,,,,2024
2024-01-04 23:30:00,,,,,,,,,2024
