timestamp,baz_max,baz_mid,baz_max_std,baz_mid_std,baz_max_mad,baz_mid_mad,count_max,count_mid
2024-01-24 00:30:00,285.0,278.0,31.0,28.0,103.0,96.0,87.0,74.0
2024-01-24 01:30:00,293.0,289.0,24.0,27.0,125.0,112.0,100.0,77.0
2024-01-24 02:30:00,289.0,281.0,22.0,22.0,111.0,98.0,97.0,78.0
2024-01-24 03:30:00,283.0,273.0,29.0,27.0,106.0,90.0,67.0,51.0
2024-01-24 04:30:00,281.0,279.0,29.0,22.0,98.0,97.0,72.0,60.0
2024-01-24 05:30:00,293.0,270.0,26.0,26.0,124.0,84.0,86.0,65.0
2024-01-24 06:30:00,289.0,272.0,40.0,30.0,109.0,91.0,59.0,44.0
2024-01-24 07:30:00,277.0,276.0,36.0,27.0,88.0,94.0,53.0,37.0
2024-01-24 08:30:00,246.0,276.0,44.0,40.0,44.0,95.0,24.0,22.0
2024-01-24 09:30:00,274.0,268.0,42.0,35.0,94.0,78.0,56.0,44.0
2024-01-24 10:30:00,287.0,289.0,38.0,35.0,109.0,106.0,39.0,29.0
2024-01-24 11:30:00,283.0,289.0,40.0,32.0,101.0,110.0,43.0,31.0
2024-01-24 12:30:00,287.0,290.0,47.0,42.0,108.0,114.0,39.0,28.0
2024-01-24 13:30:00,258.0,292.0,55.0,52.0,76.0,110.0,34.0,24.0
2024-01-24 14:30:00,316.0,261.0,41.0,33.0,154.0,70.0,30.0,18.0
2024-01-24 15:30:00,302.0,299.0,49.0,49.0,129.0,118.0,42.0,31.0
2024-01-24 16:30:00,286.0,283.0,33.0,32.0,104.0,98.0,47.0,38.0
2024-01-24 17:30:00,277.0,268.0,45.0,38.0,96.0,88.0,35.0,25.0
2024-01-24 18:30:00,297.0,279.0,40.0,46.0,126.0,98.0,31.0,20.0
2024-01-24 19:30:00,279.0,285.0,34.0,34.0,94.0,108.0,58.0,43.0
2024-01-24 20:30:00,290.0,289.0,33.0,31.0,108.0,110.0,70.0,55.0
2024-01-24 21:30:00,297.0,294.0,19.0,24.0,122.0,118.0,63.0,48.0
2024-01-24 22:30:00,281.0,267.0,40.0,32.0,96.0,65.0,67.0,52.0
2024-01-24 23:30:00,298.0,301.0,32.0,33.0,117.0,118.0,61.0,45.0
