timestamp,baz_max,baz_mid,baz_max_std,baz_mid_std,baz_max_mad,baz_mid_mad,count_max,count_mid
2024-01-20 00:30:00,288.0,290.0,27.0,22.0,105.0,110.0,95.0,69.0
2024-01-20 01:30:00,288.0,285.0,28.0,26.0,108.0,104.0,114.0,97.0
2024-01-20 02:30:00,290.0,305.0,26.0,33.0,109.0,136.0,109.0,95.0
2024-01-20 03:30:00,293.0,282.0,25.0,21.0,113.0,102.0,96.0,84.0
2024-01-20 04:30:00,298.0,277.0,27.0,25.0,124.0,86.0,103.0,85.0
2024-01-20 05:30:00,278.0,272.0,32.0,30.0,97.0,80.0,96.0,77.0
2024-01-20 06:30:00,292.0,298.0,24.0,21.0,110.0,118.0,96.0,82.0
2024-01-20 07:30:00,274.0,276.0,24.0,25.0,90.0,92.0,93.0,79.0
2024-01-20 08:30:00,289.0,281.0,30.0,28.0,107.0,100.0,97.0,79.0
2024-01-20 09:30:00,296.0,295.0,29.0,27.0,118.0,114.0,101.0,86.0
2024-01-20 10:30:00,293.0,288.0,30.0,26.0,116.0,110.0,104.0,89.0
2024-01-20 11:30:00,289.0,285.0,24.0,28.0,105.0,104.0,109.0,81.0
2024-01-20 12:30:00,289.0,284.0,26.0,27.0,109.0,102.0,99.0,82.0
2024-01-20 13:30:00,288.0,286.0,28.0,28.0,107.0,102.0,96.0,75.0
2024-01-20 14:30:00,294.0,282.0,26.0,23.0,119.0,102.0,106.0,85.0
2024-01-20 15:30:00,288.0,291.0,28.0,20.0,108.0,112.0,99.0,77.0
2024-01-20 16:30:00,288.0,293.0,32.0,27.0,107.0,112.0,85.0,67.0
2024-01-20 17:30:00,300.0,293.0,30.0,29.0,126.0,117.0,109.0,82.0
2024-01-20 18:30:00,293.0,290.0,31.0,23.0,113.0,114.0,84.0,47.0
2024-01-20 19:30:00,283.0,291.0,34.0,23.0,104.0,112.0,93.0,52.0
2024-01-20 20:30:00,300.0,287.0,28.0,23.0,125.0,106.0,75.0,51.0
2024-01-20 21:30:00,287.0,293.0,26.0,25.0,109.0,113.0,69.0,38.0
2024-01-20 22:30:00,271.0,286.0,30.0,24.0,87.0,111.0,55.0,42.0
2024-01-20 23:30:00,282.0,284.0,21.0,25.0,98.0,104.0,67.0,52.0
