timestamp,baz_max,baz_mid,baz_max_std,baz_mid_std,baz_max_mad,baz_mid_mad,count_max,count_mid
2024-01-30 00:30:00,315.0,295.0,44.0,42.0,128.0,104.0,73.0,50.0
2024-01-30 01:30:00,317.0,328.0,53.0,50.0,127.0,142.0,68.0,41.0
2024-01-30 02:30:00,317.0,293.0,34.0,37.0,136.0,112.0,67.0,48.0
2024-01-30 03:30:00,314.0,300.0,44.0,46.0,115.0,104.0,53.0,33.0
2024-01-30 04:30:00,328.0,315.0,37.0,38.0,147.0,124.0,64.0,45.0
2024-01-30 05:30:00,332.0,319.0,43.0,46.0,148.0,141.0,58.0,40.0
2024-01-30 06:30:00,334.0,318.0,36.0,37.0,148.0,136.0,82.0,67.0
2024-01-30 07:30:00,321.0,303.0,40.0,29.0,144.0,118.0,80.0,62.0
2024-01-30 08:30:00,317.0,299.0,36.0,37.0,133.0,111.0,85.0,60.0
2024-01-30 09:30:00,316.0,301.0,52.0,40.0,134.0,114.0,81.0,63.0
2024-01-30 10:30:00,330.0,317.0,39.0,35.0,150.0,148.0,76.0,53.0
2024-01-30 11:30:00,315.0,320.0,38.0,33.0,136.0,150.0,56.0,43.0
2024-01-30 12:30:00,315.0,300.0,49.0,45.0,132.0,114.0,68.0,56.0
2024-01-30 13:30:00,318.0,326.0,49.0,45.0,127.0,138.0,77.0,57.0
2024-01-30 14:30:00,313.0,288.0,42.0,36.0,134.0,104.0,49.0,36.0
2024-01-30 15:30:00,323.0,315.0,40.0,35.0,140.0,129.0,84.0,66.0
2024-01-30 16:30:00,322.0,271.0,41.0,38.0,146.0,86.0,74.0,55.0
2024-01-30 17:30:00,304.0,299.0,45.0,41.0,125.0,120.0,75.0,53.0
2024-01-30 18:30:00,321.0,310.0,45.0,39.0,140.0,128.0,84.0,65.0
2024-01-30 19:30:00,306.0,298.0,42.0,39.0,122.0,114.0,74.0,58.0
2024-01-30 20:30:00,314.0,292.0,45.0,38.0,127.0,110.0,85.0,65.0
2024-01-30 21:30:00,316.0,294.0,34.0,30.0,136.0,110.0,74.0,58.0
2024-01-30 22:30:00,305.0,295.0,38.0,23.0,126.0,110.0,71.0,48.0
2024-01-30 23:30:00,325.0,311.0,37.0,38.0,143.0,128.0,77.0,57.0
