timestamp,baz_max,baz_mid,baz_max_std,baz_mid_std,baz_max_mad,baz_mid_mad,count_max,count_mid
2024-01-27 00:30:00,287.0,288.0,25.0,29.0,105.0,114.0,104.0,85.0
2024-01-27 01:30:00,283.0,289.0,32.0,33.0,101.0,110.0,106.0,91.0
2024-01-27 02:30:00,284.0,295.0,28.0,24.0,102.0,122.0,105.0,89.0
2024-01-27 03:30:00,282.0,285.0,29.0,29.0,100.0,106.0,111.0,102.0
2024-01-27 04:30:00,284.0,287.0,29.0,29.0,100.0,108.0,97.0,78.0
2024-01-27 05:30:00,292.0,281.0,30.0,30.0,115.0,100.0,100.0,76.0
2024-01-27 06:30:00,294.0,277.0,22.0,26.0,113.0,95.0,118.0,104.0
2024-01-27 07:30:00,296.0,298.0,29.0,32.0,114.0,122.0,104.0,88.0
2024-01-27 08:30:00,301.0,278.0,32.0,27.0,121.0,95.0,94.0,82.0
2024-01-27 09:30:00,294.0,293.0,33.0,31.0,118.0,114.0,106.0,90.0
2024-01-27 10:30:00,297.0,306.0,28.0,28.0,119.0,138.0,110.0,97.0
2024-01-27 11:30:00,301.0,299.0,24.0,27.0,124.0,122.0,99.0,78.0
2024-01-27 12:30:00,302.0,292.0,26.0,25.0,124.0,110.0,108.0,93.0
2024-01-27 13:30:00,303.0,285.0,33.0,29.0,122.0,104.0,101.0,83.0
2024-01-27 14:30:00,303.0,278.0,31.0,30.0,122.0,93.0,98.0,78.0
2024-01-27 15:30:00,308.0,295.0,27.0,26.0,132.0,116.0,108.0,85.0
2024-01-27 16:30:00,301.0,292.0,29.0,29.0,119.0,112.0,99.0,80.0
2024-01-27 17:30:00,308.0,299.0,35.0,29.0,130.0,120.0,92.0,76.0
2024-01-27 18:30:00,306.0,288.0,32.0,31.0,130.0,104.0,93.0,78.0
2024-01-27 19:30:00,311.0,301.0,30.0,36.0,131.0,124.0,82.0,60.0
2024-01-27 20:30:00,314.0,296.0,38.0,30.0,136.0,114.0,86.0,66.0
2024-01-27 21:30:00,301.0,299.0,36.0,26.0,124.0,122.0,94.0,73.0
2024-01-27 22:30:00,316.0,281.0,36.0,32.0,146.0,102.0,87.0,64.0
2024-01-27 23:30:00,310.0,287.0,34.0,28.0,132.0,108.0,88.0,68.0
