timestamp,baz_max,baz_mid,baz_max_std,baz_mid_std,baz_max_mad,baz_mid_mad,count_max,count_mid
2024-01-31 00:30:00,320.0,309.0,38.0,32.0,132.0,128.0,91.0,75.0
2024-01-31 01:30:00,324.0,279.0,36.0,39.0,148.0,96.0,80.0,54.0
2024-01-31 02:30:00,310.0,294.0,40.0,36.0,128.0,110.0,79.0,57.0
2024-01-31 03:30:00,332.0,303.0,42.0,43.0,152.0,118.0,82.0,58.0
2024-01-31 04:30:00,339.0,321.0,50.0,44.0,152.0,138.0,85.0,66.0
2024-01-31 05:30:00,321.0,296.0,36.0,38.0,140.0,114.0,86.0,67.0
2024-01-31 06:30:00,312.0,282.0,29.0,38.0,128.0,94.0,84.0,61.0
2024-01-31 07:30:00,324.0,304.0,46.0,40.0,138.0,122.0,87.0,67.0
2024-01-31 08:30:00,319.0,305.0,38.0,36.0,136.0,116.0,65.0,49.0
2024-01-31 09:30:00,307.0,303.0,35.0,31.0,125.0,122.0,87.0,68.0
2024-01-31 10:30:00,319.0,289.0,35.0,37.0,139.0,104.0,91.0,75.0
2024-01-31 11:30:00,309.0,291.0,41.0,40.0,126.0,110.0,85.0,71.0
2024-01-31 12:30:00,310.0,288.0,43.0,32.0,134.0,101.0,84.0,68.0
2024-01-31 13:30:00,328.0,302.0,31.0,32.0,148.0,118.0,98.0,75.0
2024-01-31 14:30:00,313.0,310.0,37.0,36.0,132.0,126.0,94.0,71.0
2024-01-31 15:30:00,331.0,316.0,27.0,37.0,149.0,124.0,80.0,56.0
2024-01-31 16:30:00,327.0,290.0,37.0,33.0,137.0,106.0,78.0,54.0
2024-01-31 17:30:00,317.0,306.0,34.0,38.0,132.0,118.0,86.0,59.0
2024-01-31 18:30:00,329.0,324.0,35.0,35.0,146.0,138.0,78.0,58.0
2024-01-31 19:30:00,333.0,304.0,42.0,46.0,151.0,124.0,70.0,48.0
2024-01-31 20:30:00,332.0,337.0,37.0,37.0,145.0,138.0,65.0,39.0
2024-01-31 21:30:00,332.0,284.0,36.0,45.0,145.0,98.0,68.0,41.0
2024-01-31 22:30:00,332.0,297.0,27.0,39.0,148.0,104.0,75.0,48.0
2024-01-31 23:30:00,334.0,331.0,37.0,47.0,149.0,142.0,64.0,37.0
